duration,language,movie_id,production_country,rank,release_date,title,type1,type2,type3
89,汉语普通话,1428581,中国大陆,9.2,1983(中国大陆),天书奇谭,动画,奇幻,
111,美国手语 / 英语,35048413,美国 / 法国 / 加拿大,8.6,2021-01-29,健听女孩 CODA,剧情,音乐,
113,英语 / 美国手语,26613692,美国 / 澳大利亚 / 加拿大 / 印度,6.3,2021-03-26,哥斯拉大战金刚 Godzilla vs Kong,动作,科幻,冒险
111,汉语普通话,35030151,中国大陆,7.2,2021-10-01,五个扑水的少年,喜剧,运动,
137,汉语普通话,35125443,中国大陆,6.7,2021-07-01,1921,剧情,历史,
97,英语,30382416,美国,5.0,2021-10-01,毒液2 Venom: Let There Be Carnage,动作,科幻,惊悚
105,日语,35414623,日本,8.2,2021-12-24,咒术回战 0 劇場版 呪術廻戦 0,动画,,
115,汉语普通话,35158124,中国大陆,7.1,2021-07-30,盛夏未来,剧情,,
133,英语,34888057,美国 / 加拿大,6.8,2021-11-26,甘草披萨 Licorice Pizza,剧情,喜剧,
108,英语,35017064,美国,6.4,2021-07-21,老去 Old,剧情,悬疑,惊悚
14,泰语,35472124,泰国,8.8,2021-05-20,普吉岛的最后黄昏 แปลรักฉันด้วยใจเธอ Side Story,剧情,喜剧,爱情
106,英语,30368448,美国,5.4,2021-06-10,无限 Infinite,动作,科幻,惊悚
102,粤语 / 汉语普通话,32568661,中国香港 / 中国大陆,6.9,2021-09-04,妈妈的神奇小子 媽媽的神奇小子,剧情,传记,运动
112,粤语,30359468,中国香港,7.6,2021-06-03,浊水漂流 濁水漂流,剧情,,
116,英语,34981939,美国,6.8,2021-09-10,偷窥者 The Voyeurs,惊悚,,
127,英语,30489388,美国,6.5,2021-01-29,蛛丝马迹 The Little Things,剧情,惊悚,犯罪
124,日语,35262731,日本,8.3,2021-12-09,浅草小子 浅草キッド,剧情,传记,
85,汉语普通话,35402760,中国大陆,5.6,2021-11-12,烧烤之王,喜剧,,
101,汉语普通话 / 英语 / 闽南语,30359376,中国台湾,7.3,2021-12-03,美国女孩 美國女孩,剧情,家庭,
90,汉语普通话,26889600,中国大陆,3.0,2021-05-28,迷妹罗曼史,喜剧,爱情,
101,汉语普通话,34839344,中国大陆,4.8,2021-06-25,完美受害人,剧情,悬疑,犯罪
97,汉语普通话,26703946,中国大陆,3.1,2021-06-22,岁月忽已暮,剧情,爱情,
142,日语,35391281,日本,4.9,2021-12-10,轮到你了 剧场版 あなたの番です 劇場版,剧情,悬疑,犯罪
113,英语,34881718,英国 / 德国 / 美国,7.9,2021-11-24,不可饶恕 The Unforgivable,剧情,,
122,英语,30396443,加拿大 / 美国,4.3,2021-11-05,特种部队：蛇眼起源 Snake Eyes: G.I. Joe Origins,动作,科幻,冒险
117,汉语普通话 / 粤语,26747869,中国大陆 / 中国香港,3.9,2021-05-01,真·三国无双,动作,奇幻,古装
150,英语,27605105,美国,6.8,2021-12-17,玉面情魔 Nightmare Alley,剧情,悬疑,犯罪
101,汉语普通话,35165314,中国大陆,4.8,2021-04-02,明天会好的,喜剧,爱情,
107,俄语 / 芬兰语,34927643,芬兰 / 俄罗斯 / 爱沙尼亚 / 德国,7.7,2021-07-10,六号车厢 Hytti nro 6,剧情,,
118,汉语普通话,26928478,中国大陆,5.9,2022-01-14,东北虎,剧情,喜剧,
116,英语,30447440,英国,6.8,2021-09-04,Soho区惊魂夜 Last Night in Soho,悬疑,恐怖,
88,法语,35338562,法国,8.1,2021-09-03,全职 À plein temps,剧情,,
138,日语,30167974,日本,7.6,2021-04-23,浪客剑心 最终章 人诛篇 るろうに剣心 最終章 The Final,剧情,动作,冒险
115,日语,35597426,日本,7.8,2021-11-02,稍微想起一些 ちょっと思い出しただけ,爱情,,
94,韩语,35151297,韩国,7.0,2021-07-23,王国：北方的阿信 킹덤：아신전,剧情,恐怖,古装
110,汉语普通话,35470663,中国大陆,7.7,2021-07-09,大学,纪录片,,
108,法语,34820925,法国 / 比利时,6.4,2021-07-13,钛 Titane,剧情,恐怖,
131,法语,26933588,法国 / 荷兰,7.8,2021-07-09,圣母 Benedetta,剧情,同性,历史
146,波兰语,35700235,波兰,6.9,2021-11-26,迪拜的女孩 Dziewczyny z Dubaju,剧情,,
106,汉语普通话,30464901,中国大陆 / 中国香港,6.0,2021-05-01,寻汉计,喜剧,,
103,汉语普通话,35453728,中国大陆,4.6,2021-10-29,东北恋哥,剧情,喜剧,爱情
108,汉语普通话 / 日语,35148918,中国大陆,7.0,2022-03-11,如果有一天我将会离开你,剧情,,
40,日语,35368245,日本,8.0,2021-11-12,夏日幽灵 サマーゴースト,动画,短片,
98,汉语普通话,35470753,中国大陆,8.9,2021-09-03,1950他们正年轻,纪录片,,
96,汉语普通话,25920326,中国大陆,4.2,2021-09-19,我的青春有个你,剧情,爱情,
111,汉语普通话,26662331,中国大陆,3.1,2021-10-15,图兰朵：魔咒缘起,爱情,奇幻,
127,英语,3692602,美国,6.1,2021-11-12,丛林奇航 Jungle Cruise,喜剧,动作,奇幻
94,英语,30213339,澳大利亚 / 印度 / 美国 / 英国 / 加拿大,7.0,2021-06-11,比得兔2：逃跑计划 Peter Rabbit 2: The Runaway,喜剧,动画,冒险
138,英语,30459571,美国,5.9,2021-09-03,明日之战 The Tomorrow War,动作,科幻,冒险
108,英语 / 法语,30300279,美国 / 德国,7.7,2021-07-12,法兰西特派 The French Dispatch,剧情,喜剧,
122,汉语普通话,33457717,中国大陆,4.7,2021-01-22,大红包,喜剧,爱情,
128,挪威语,34447553,挪威 / 法国 / 瑞典 / 丹麦,7.9,2021-07-08,世界上最糟糕的人 Verdens verste menneske,剧情,喜剧,爱情
118,粤语 / 汉语普通话,27124695,中国香港 / 中国大陆,7.2,2021-11-18,智齿 智齒,悬疑,犯罪,
107,汉语普通话,34927916,中国大陆,6.6,2021-10-22,不速来客,喜剧,悬疑,
118,英语,27046740,美国 / 英国,6.7,2021-05-10,人之怒 Wrath of Man,动作,犯罪,
98,汉语普通话,34917447,中国大陆,5.0,2021-06-12,超越,剧情,喜剧,运动
94,日语,35335784,日本,7.0,2021-02-11,名侦探柯南：绯色的不在场证明 名探偵コナン 緋色の不在証明,剧情,动作,动画
108,英语,34804147,美国,7.0,2021-03-05,寻龙传说 Raya and The Last Dragon,动画,奇幻,冒险
108,汉语普通话,35256235,中国大陆,4.5,2021-07-17,燃野少年的天空,喜剧,歌舞,
121,汉语普通话,35288767,中国大陆,7.5,2021-07-01,革命者,剧情,历史,
179,日语 / 英语 / 韩国手语 / 德语 / 汉语普通话 / 他加禄语 / 韩语 / 印度尼西亚语,35235502,日本,7.9,2022(中国大陆),驾驶我的车 ドライブ・マイ・カー,剧情,,
121,韩语 / 英语,33457594,韩国,8.1,2021-07-28,摩加迪沙 모가디슈,剧情,动作,
127,英语,33437152,英国 / 澳大利亚 / 美国 / 加拿大 / 新西兰,7.8,2021-09-02,犬之力 The Power of the Dog,剧情,同性,西部
103,汉语普通话,35446144,中国大陆,5.2,2021-12-31,以年为单位的恋爱,爱情,,
88,英语,30469922,美国 / 南非,6.2,2022-04-02,密室逃生2 Escape Room  2,悬疑,惊悚,
115,闽南语 / 汉语普通话,35198827,中国台湾 / 中国香港,6.3,2021-06-11,当男人恋爱时 當男人戀愛時,爱情,,
118,汉语普通话,26924143,中国大陆,4.4,2021-06-11,阳光姐妹淘,喜剧,,
97,英语,30206311,美国,6.4,2021-05-28,寂静之地2 A Quiet Place: Part II,科幻,惊悚,恐怖
146,汉语普通话,35303777,中国大陆,4.8,2021-07-23,我们的新生活,剧情,,
95,汉语普通话,26818326,中国大陆,5.3,2021-04-02,西游记之再世妖王,动作,动画,奇幻
92,汉语普通话,30166971,中国大陆,2.8,2021-08-13,测谎人,喜剧,爱情,
105,汉语普通话,30330751,中国大陆,4.2,2021-07-16,二哥来了怎么办,喜剧,,
112,葡萄牙语 / 英语,27077479,美国 / 英国,6.4,2021-05-26,招魂3 The Conjuring: The Devil Made Me Do It,悬疑,惊悚,恐怖
104,汉语普通话,35461732,中国大陆,5.9,2021-08-13,赘婿之吉兴高照,剧情,喜剧,爱情
104,英语,34908189,美国,9.2,2021-05-27,老友记重聚特辑 Friends: The Reunion,喜剧,爱情,
130,英语,27038228,英国 / 美国,5.3,2021-12-22,王牌特工：源起 The King's Man,动作,冒险,
137,日语,33407124,日本,8.5,2021-06-04,浪客剑心 最终章 追忆篇 るろうに剣心 最終章 The Beginning,剧情,动作,冒险
103,英语,35238569,美国,6.8,2021-09-25,黑色电话 The Black Phone,恐怖,,
106,韩语,35477218,韩国,6.8,2021-06-30,怪奇宅 괴기맨숀,惊悚,恐怖,
129,汉语普通话,35242938,中国台湾,7.7,2021-10-29,瀑布,剧情,,
92,汉语普通话,35489675,中国大陆,4.4,2021-07-16,济公之降龙降世,动画,奇幻,冒险
